mgmt_is_effective,gender,member_bmu,member_other_group,other_group_marine_related,trained_management,challenges_manage,self_marine_activities,women_access,women_nature_group,bmu_commitee,bmu_executive,bmu_admin,bmu_member_0_5,bmu_member_5_10,bmu_member_10_plus,other_member_0_5,other_member_5_10,other_member_10_plus,buy_prefer_fish,own_fish_gear,fish_gear_impact,pref_fish_large,pref_fish_small,pref_fish_medium,pref_fish_anysize,own_gear_0_5,own_gear_5_10,own_gear_10_plus,is_head,education,fisher,head_fisher,marine_job,head_marine_job,tourism,head_tourism,unemployment,head_unemployment,has_second_job,secondary_fisher,secondary_marine_job,secondary_tourism,p_s_fisher,p_s_marine,p_s_tourism
0,1,1,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,2,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
0,2,1,1,1,1,0,1,1,1,0,0,0,NA,NA,NA,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2,1,1,1,0,1,1,2,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,2,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
0,2,1,1,1,0,1,1,2,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,1,1,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,1,0,0,0,1,1,3,1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,0,0,1,3,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
0,2,1,0,0,1,0,1,1,0,0,0,0,NA,NA,NA,0,0,0,1,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,1,1,1,1,1,2,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,1,1,0,0,0,3,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,1,1,1,1,1,1,0,0,0,0,NA,NA,NA,1,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
1,2,1,1,1,0,1,1,2,1,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,1,0,1,1,1,2,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,0,0,1,1,1,2,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,0,0,1,1,1,3,1,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,NA,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,1,1,1,0,1,3,1,0,0,0,1,0,0,0,0,0,0,1,1,NA,NA,NA,NA,1,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,1,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2,1,1,0,0,0,0,2,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,1,1,3,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,1,1,NA,NA,NA,NA,0,0,1,1,2,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
1,1,1,0,0,1,1,1,3,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,2,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
1,1,1,1,1,1,1,1,3,1,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
1,2,1,1,0,1,1,1,2,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,1,1,1,NA,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,1,0,1,0,1,2,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,1,1,0,1,1,1,2,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,1,0,1,1,1,2,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,1,0,1,0,1,3,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,1,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,1,1,1,1,1,2,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,1,0,1,1,1,2,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,0,0,0,0,1,3,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
1,2,1,1,1,0,1,1,2,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,2,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
0,1,0,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
0,1,0,0,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
1,1,1,1,0,1,1,1,2,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,2,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,2,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
1,1,1,1,1,1,1,1,3,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,2,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
0,1,1,1,1,1,1,1,2,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
1,1,1,0,0,1,1,1,3,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
1,2,1,1,1,0,1,1,3,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,1,1,3,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
1,1,1,0,0,1,1,1,3,1,0,0,0,0,0,1,0,0,0,NA,1,1,NA,NA,NA,NA,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
1,1,1,0,0,0,1,1,3,1,0,0,0,0,0,1,0,0,0,0,1,1,NA,NA,NA,NA,0,1,0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
1,1,1,0,0,0,1,1,3,0,0,0,0,0,0,1,0,0,0,0,1,1,NA,NA,NA,NA,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
1,2,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2,1,1,1,0,1,1,3,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,1,1,0,1,1,3,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,0,0,1,0,1,3,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,1,0,1,0,1,NA,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,1,0,1,1,1,NA,0,0,0,0,1,0,0,NA,NA,NA,1,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1
1,1,1,1,0,0,0,1,3,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,2,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
1,2,1,1,1,1,1,1,3,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,0,0,0,1,1,3,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
0,1,1,0,0,1,1,1,3,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
0,1,1,0,0,0,1,1,2,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,2,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
1,1,1,0,0,0,1,1,3,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
1,2,1,1,1,1,1,1,2,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,1,1,1,1,1,2,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,0,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,1,1,0,0,1,1,1,2,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,0,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
1,1,1,0,0,1,1,1,2,0,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,2,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
1,2,1,1,1,0,0,1,3,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,1,1,1,0,1,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,1,3,0,0,0,0,1,0,0,0,0,0,0,1,1,NA,NA,NA,NA,0,1,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
1,1,1,1,0,1,0,1,3,0,1,0,0,0,0,1,0,1,0,0,1,1,NA,NA,NA,NA,0,0,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
1,2,1,1,0,0,1,1,2,1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,3,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,0,1,0,1,3,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
0,1,1,1,1,1,1,1,3,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
1,2,1,0,0,1,1,1,2,1,0,0,1,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
1,2,1,0,0,0,1,1,2,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
0,2,1,1,0,1,1,1,3,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
0,2,1,0,0,1,0,0,3,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,1,1,1,0,1,1,1,2,1,0,0,1,0,0,1,NA,NA,NA,1,0,1,1,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
1,1,1,0,0,0,1,1,3,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
0,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,1,1,2,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
0,1,1,0,0,0,1,1,3,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
1,2,1,0,0,0,1,1,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,1,0,0,1,1,3,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,1,1,0,0,1,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
1,1,1,1,0,0,1,1,3,1,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
1,2,1,1,0,1,0,1,3,1,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,1,1,1,1,1,3,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,0,0,1,1,1,3,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,0,2,1,0,1,0,0,0,0,0,1,0,1,0,1,1,0
0,1,0,0,0,0,NA,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,3,1,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,2,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
1,1,1,1,1,1,1,1,3,1,0,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0,0,1,1,1,0,1,1,1
1,2,1,1,1,1,1,1,3,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1,2,1,1,1,0,1,1,3,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,2,1,1,1,1,0,0,0,0,1,0,1,0,1,1,0
0,1,1,0,0,0,1,1,3,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
0,1,1,0,0,0,0,0,3,1,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,2,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0
0,1,1,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,1,NA,NA,NA,NA,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0
1,2,1,1,1,1,1,1,3,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,1,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,1,1,1,1,1,3,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0
0,2,1,1,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,1,1,3,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
1,2,0,1,0,0,1,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2,1,1,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,1,3,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
1,2,1,1,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,1,1,0,0,1,1,2,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
